time,ax,ay,az
2020-08-12 20:1:25.8730,0.05,-0.01,-0.02
2020-08-12 20:1:25.9720,-0.0,0.0,-0.0
2020-08-12 20:1:26.0720,-0.0,0.0,0.0
2020-08-12 20:1:26.1710,-0.01,0.0,0.0
2020-08-12 20:1:26.2700,-0.01,0.01,-0.0
2020-08-12 20:1:26.3690,-0.01,0.0,0.01
2020-08-12 20:1:26.4690,-0.01,-0.0,-0.0
2020-08-12 20:1:26.5680,0.01,-0.01,-0.0
2020-08-12 20:1:26.6670,0.0,0.0,0.0
2020-08-12 20:1:26.7660,-0.0,0.0,0.0
2020-08-12 20:1:26.8650,0.0,-0.01,-0.0
2020-08-12 20:1:26.9650,-0.01,0.0,-0.0
2020-08-12 20:1:27.0640,-0.0,-0.01,-0.0
2020-08-12 20:1:27.1630,-0.01,0.0,0.01
2020-08-12 20:1:27.2630,0.01,-0.0,-0.02
2020-08-12 20:1:27.3620,0.0,0.0,0.01
2020-08-12 20:1:27.4610,0.01,-0.01,0.02
2020-08-12 20:1:27.5610,-0.04,0.01,0.0
2020-08-12 20:1:27.6600,-0.01,0.0,0.02
2020-08-12 20:1:27.7590,0.02,-0.03,-0.0
2020-08-12 20:1:27.8580,0.04,-0.01,0.02
2020-08-12 20:1:27.9580,0.06,-0.0,-0.0
2020-08-12 20:1:28.0570,-0.04,-0.01,0.01
2020-08-12 20:1:28.1560,-0.01,-0.0,0.0
2020-08-12 20:1:28.2560,0.08,-0.06,0.02
2020-08-12 20:1:28.3540,0.17,-0.12,0.03
2020-08-12 20:1:28.4540,0.15,-0.21,0.29
2020-08-12 20:1:28.5530,0.62,0.05,0.15
2020-08-12 20:1:28.6530,0.73,0.09,-0.07
2020-08-12 20:1:28.7510,-0.06,-0.34,-0.11
2020-08-12 20:1:28.8510,-0.44,-0.26,-0.12
2020-08-12 20:1:28.9500,-0.27,-0.01,-0.12
2020-08-12 20:1:29.0500,-0.36,0.05,0.03
2020-08-12 20:1:29.1490,0.44,-0.1,0.02
2020-08-12 20:1:29.2480,-0.72,-0.35,-0.07
2020-08-12 20:1:29.3470,-0.13,0.06,-0.04
2020-08-12 20:1:29.4470,-0.04,-0.01,0.02
2020-08-12 20:1:29.5460,0.03,0.05,0.1
2020-08-12 20:1:29.6450,-0.01,0.03,-0.01
2020-08-12 20:1:29.7450,0.02,0.02,-0.01
2020-08-12 20:1:29.8440,-0.03,0.0,0.0
2020-08-12 20:1:29.9430,-0.0,-0.02,0.04
2020-08-12 20:1:30.0420,0.02,-0.01,0.03
2020-08-12 20:1:30.1420,0.04,0.01,-0.01
2020-08-12 20:1:30.2410,0.12,-0.22,0.04
2020-08-12 20:1:30.3400,0.2,-0.24,-0.08
2020-08-12 20:1:30.4390,0.0,0.01,0.22
2020-08-12 20:1:30.5390,0.87,0.31,-0.05
2020-08-12 20:1:30.6380,0.42,-0.18,-0.11
2020-08-12 20:1:30.7370,0.02,-0.34,-0.04
2020-08-12 20:1:30.8370,-0.22,-0.21,0.01
2020-08-12 20:1:30.9360,-0.61,-0.04,-0.05
2020-08-12 20:1:31.0350,-0.69,0.02,0.03
2020-08-12 20:1:31.1340,-0.35,-0.74,-0.64
2020-08-12 20:1:31.2330,-0.15,0.08,0.22
2020-08-12 20:1:31.3330,-0.0,0.01,-0.0
2020-08-12 20:1:31.4320,-0.01,-0.01,-0.01
2020-08-12 20:1:31.5310,-0.01,0.01,0.02
2020-08-12 20:1:31.6300,-0.0,0.02,-0.02
2020-08-12 20:1:31.7300,0.04,0.0,-0.01
2020-08-12 20:1:31.8290,0.06,-0.02,0.02
2020-08-12 20:1:31.9280,0.07,-0.03,0.01
2020-08-12 20:1:32.0270,0.07,-0.17,0.06
2020-08-12 20:1:32.1270,0.3,-0.34,-0.13
2020-08-12 20:1:32.2260,0.01,-0.24,0.28
2020-08-12 20:1:32.3250,1.08,0.37,-0.06
2020-08-12 20:1:32.4250,0.4,-0.14,-0.02
2020-08-12 20:1:32.5240,-0.02,-0.27,0.11
2020-08-12 20:1:32.6230,-0.05,-0.22,-0.1
2020-08-12 20:1:32.7220,-0.51,-0.14,0.08
2020-08-12 20:1:32.8220,-0.57,-0.0,-0.07
2020-08-12 20:1:32.9210,-0.58,-0.01,-0.02
2020-08-12 20:1:33.0210,0.26,-1.61,-0.81
2020-08-12 20:1:33.1200,-0.36,-0.01,0.41
2020-08-12 20:1:33.2190,0.06,0.0,-0.02
2020-08-12 20:1:33.3180,-0.02,-0.01,-0.02
2020-08-12 20:1:33.4170,-0.01,0.04,-0.0
2020-08-12 20:1:33.5170,0.02,0.01,0.02
