time,ax,ay,az
2020-08-10 16:8:14.8380,-0.05,0.04,0.01
2020-08-10 16:8:14.9260,-0.01,0.03,0.0
2020-08-10 16:8:15.0090,0.01,0.04,0.0
2020-08-10 16:8:15.1060,0.02,0.04,0.01
2020-08-10 16:8:15.2010,0.03,0.03,-0.01
2020-08-10 16:8:15.2890,0.01,0.03,-0.01
2020-08-10 16:8:15.3890,-0.05,0.06,-0.02
2020-08-10 16:8:15.4850,0.06,-0.02,0.0
2020-08-10 16:8:15.5770,0.05,0.04,-0.01
2020-08-10 16:8:15.6430,-0.01,0.05,-0.01
2020-08-10 16:8:15.7230,0.04,-0.03,0.04
2020-08-10 16:8:15.8130,0.02,0.01,-0.01
2020-08-10 16:8:15.9070,-0.09,0.04,0.05
2020-08-10 16:8:15.9950,-0.02,-0.01,-0.0
2020-08-10 16:8:16.0860,-0.05,0.05,0.04
2020-08-10 16:8:16.1720,0.06,0.04,-0.02
2020-08-10 16:8:16.2710,0.02,0.03,0.0
2020-08-10 16:8:16.3770,-0.02,0.03,-0.01
2020-08-10 16:8:16.4810,0.01,0.04,0.0
2020-08-10 16:8:16.5700,0.01,0.05,-0.01
2020-08-10 16:8:16.6360,0.0,0.0,0.0
2020-08-10 16:8:16.7170,-0.0,0.05,-0.01
2020-08-10 16:8:16.8160,-0.01,0.04,-0.0
2020-08-10 16:8:16.8990,-0.02,0.02,0.01
2020-08-10 16:8:16.9820,0.02,0.03,-0.0
2020-08-10 16:8:17.0790,-0.02,0.0,-0.02
2020-08-10 16:8:17.1670,0.06,0.04,0.01
2020-08-10 16:8:17.2660,0.09,0.06,-0.08
2020-08-10 16:8:17.3630,-0.01,0.08,0.03
2020-08-10 16:8:17.4630,0.04,-0.02,0.03
2020-08-10 16:8:17.5360,0.03,0.01,0.09
2020-08-10 16:8:17.6270,0.01,0.06,0.03
2020-08-10 16:8:17.7160,0.01,0.02,-0.0
2020-08-10 16:8:17.8050,0.01,0.02,0.03
2020-08-10 16:8:17.9100,-0.07,-0.02,0.0
2020-08-10 16:8:17.9900,0.08,-0.16,0.07
2020-08-10 16:8:18.0780,0.19,-0.38,-0.03
