time,ax,ay,az
2020-08-12 20:5:28.5970,0.01,0.01,0.0
2020-08-12 20:5:28.6970,0.0,-0.02,-0.01
2020-08-12 20:5:28.7960,0.04,0.0,0.01
2020-08-12 20:5:28.8950,-0.0,0.01,0.01
2020-08-12 20:5:28.9940,0.0,-0.01,-0.02
2020-08-12 20:5:29.0930,0.0,0.0,-0.0
2020-08-12 20:5:29.1930,-0.02,0.01,0.0
2020-08-12 20:5:29.2920,0.01,0.03,-0.0
2020-08-12 20:5:29.3910,-0.11,0.03,0.01
2020-08-12 20:5:29.4900,-0.16,-0.0,-0.02
2020-08-12 20:5:29.5900,-0.08,0.05,-0.01
2020-08-12 20:5:29.6890,-0.06,0.0,-0.0
2020-08-12 20:5:29.7880,-0.12,0.02,0.02
2020-08-12 20:5:29.8870,-0.1,-0.01,0.04
2020-08-12 20:5:29.9870,-0.01,0.01,-0.0
2020-08-12 20:5:30.0860,0.04,-0.02,0.04
2020-08-12 20:5:30.1850,-0.13,0.05,0.04
2020-08-12 20:5:30.2850,0.03,-0.06,0.01
2020-08-12 20:5:30.3840,-0.1,-0.04,0.08
2020-08-12 20:5:30.4830,-0.17,-0.05,0.05
2020-08-12 20:5:30.5820,-0.27,-0.11,0.28
2020-08-12 20:5:30.6820,-0.95,0.02,0.17
2020-08-12 20:5:30.7810,-0.54,0.0,-0.2
2020-08-12 20:5:30.8800,-0.19,-0.27,-0.16
2020-08-12 20:5:30.9790,0.4,-0.22,-0.13
2020-08-12 20:5:31.0780,0.34,0.07,-0.01
2020-08-12 20:5:31.1780,0.79,0.14,0.34
2020-08-12 20:5:31.2770,-0.99,-0.66,0.81
2020-08-12 20:5:31.3760,-0.02,-0.19,0.6
2020-08-12 20:5:31.4760,-0.06,0.08,-0.02
2020-08-12 20:5:31.5750,0.07,-0.13,-0.15
2020-08-12 20:5:31.6740,0.02,-0.01,-0.02
2020-08-12 20:5:31.7740,0.03,0.02,0.01
2020-08-12 20:5:31.8730,-0.05,0.02,-0.0
2020-08-12 20:5:31.9720,-0.07,-0.02,-0.01
2020-08-12 20:5:32.0710,-0.02,-0.01,0.0
2020-08-12 20:5:32.1700,-0.06,-0.03,0.04
2020-08-12 20:5:32.2700,-0.01,-0.06,0.03
2020-08-12 20:5:32.3690,-0.18,-0.29,-0.07
2020-08-12 20:5:32.4680,-0.32,-0.21,0.14
2020-08-12 20:5:32.5670,-0.66,-0.26,0.1
2020-08-12 20:5:32.6670,-0.84,-0.01,0.06
2020-08-12 20:5:32.7660,-0.15,-0.31,-0.04
2020-08-12 20:5:32.8650,0.18,-0.29,0.01
2020-08-12 20:5:32.9640,0.44,-0.07,0.08
2020-08-12 20:5:33.0640,0.55,0.13,0.12
2020-08-12 20:5:33.1630,0.72,0.22,0.26
2020-08-12 20:5:33.2620,0.73,-0.51,-0.57
2020-08-12 20:5:33.3610,0.09,-0.07,-0.06
2020-08-12 20:5:33.4610,-0.13,0.02,0.12
2020-08-12 20:5:33.5600,0.01,0.03,0.02
2020-08-12 20:5:33.6590,0.12,-0.02,-0.05
2020-08-12 20:5:33.7570,-0.02,-0.0,0.01
2020-08-12 20:5:33.8560,-0.0,-0.03,0.03
2020-08-12 20:5:33.9570,-0.06,-0.04,0.02
2020-08-12 20:5:34.0560,-0.05,0.01,0.02
2020-08-12 20:5:34.1550,-0.03,0.0,0.01
2020-08-12 20:5:34.2550,-0.06,-0.01,0.01
2020-08-12 20:5:34.3540,-0.13,-0.12,-0.01
2020-08-12 20:5:34.4530,-0.5,-0.5,-0.21
2020-08-12 20:5:34.5520,0.26,-0.37,0.03
2020-08-12 20:5:34.6510,-0.92,0.23,0.03
2020-08-12 20:5:34.7500,-0.27,-0.27,-0.11
2020-08-12 20:5:34.8490,0.08,-0.41,-0.01
2020-08-12 20:5:34.9490,0.48,-0.1,0.05
2020-08-12 20:5:35.0490,0.63,0.03,0.13
2020-08-12 20:5:35.1480,0.65,0.06,0.09
2020-08-12 20:5:35.2470,1.22,-0.13,-0.25
2020-08-12 20:5:35.3450,-0.06,0.02,-0.05
2020-08-12 20:5:35.4460,-0.08,0.03,0.06
2020-08-12 20:5:35.5450,0.02,-0.03,0.0
2020-08-12 20:5:35.6440,-0.1,0.03,0.08
2020-08-12 20:5:35.7420,-0.07,0.04,0.04
2020-08-12 20:5:35.8410,0.03,-0.01,-0.07
2020-08-12 20:5:35.9410,-0.02,-0.0,-0.02
2020-08-12 20:5:36.0410,-0.01,-0.0,-0.01
2020-08-12 20:5:36.1400,-0.0,0.01,-0.01
2020-08-12 20:5:36.2400,-0.04,0.01,0.01
2020-08-12 20:5:36.3390,-0.0,-0.02,-0.01
2020-08-12 20:5:36.4370,-0.24,-0.28,0.05
2020-08-12 20:5:36.5360,-0.68,-0.34,0.08
2020-08-12 20:5:36.6360,-1.0,0.08,-0.04
2020-08-12 20:5:36.7360,-0.66,0.01,-0.08
2020-08-12 20:5:36.8350,0.02,-0.36,-0.06
2020-08-12 20:5:36.9330,0.49,-0.22,-0.03
2020-08-12 20:5:37.0320,0.75,0.03,0.06
2020-08-12 20:5:37.1330,0.89,-0.01,0.11
2020-08-12 20:5:37.2310,1.26,-0.22,-0.57
2020-08-12 20:5:37.3320,-0.22,0.08,0.05
2020-08-12 20:5:37.4300,-0.06,0.02,0.04
2020-08-12 20:5:37.5300,-0.04,-0.01,-0.05
2020-08-12 20:5:37.6280,-0.04,0.03,0.02
2020-08-12 20:5:37.7290,0.05,-0.03,-0.07
2020-08-12 20:5:37.8270,0.07,-0.02,-0.06
2020-08-12 20:5:37.9260,-0.02,0.0,-0.01
2020-08-12 20:5:38.0260,-0.0,0.01,0.01
2020-08-12 20:5:38.1240,0.0,0.0,-0.0
2020-08-12 20:5:38.2250,-0.06,0.01,0.05
2020-08-12 20:5:38.3230,0.0,-0.05,-0.03
2020-08-12 20:5:38.4220,-0.3,-0.27,0.0
2020-08-12 20:5:38.5210,-0.5,-0.46,0.07
2020-08-12 20:5:38.6210,-1.19,0.22,-0.01
2020-08-12 20:5:38.7210,-0.69,-0.14,-0.02
2020-08-12 20:5:38.8190,0.04,-0.49,0.02
2020-08-12 20:5:38.9190,0.5,-0.15,0.03
2020-08-12 20:5:39.0180,1.02,0.08,0.14
2020-08-12 20:5:39.1170,0.07,-0.79,-0.06
2020-08-12 20:5:39.2170,1.3,-0.7,0.01
2020-08-12 20:5:39.3170,-0.14,0.07,-0.08
2020-08-12 20:5:39.4150,-0.01,0.01,0.04
2020-08-12 20:5:39.5150,-0.04,-0.02,0.01
2020-08-12 20:5:39.6130,-0.04,0.02,0.04
2020-08-12 20:5:39.7140,0.04,-0.02,-0.04
2020-08-12 20:5:39.8120,0.02,-0.03,-0.03
2020-08-12 20:5:39.9120,-0.06,-0.0,0.07
2020-08-12 20:5:40.0110,-0.01,0.01,0.0
2020-08-12 20:5:40.1090,-0.03,-0.01,0.0
2020-08-12 20:5:40.2100,-0.01,-0.04,0.0
2020-08-12 20:5:40.3090,-0.17,-0.32,0.11
2020-08-12 20:5:40.4070,-0.55,-0.15,0.06
2020-08-12 20:5:40.5070,-0.41,-0.25,0.33
2020-08-12 20:5:40.6060,-0.85,0.13,0.04
2020-08-12 20:5:40.7060,-0.21,-0.35,-0.07
2020-08-12 20:5:40.8040,0.23,-0.37,0.01
2020-08-12 20:5:40.9030,0.6,-0.16,0.16
2020-08-12 20:5:41.0040,0.88,0.03,0.09
2020-08-12 20:5:41.1020,-0.88,-0.72,0.26
2020-08-12 20:5:41.2010,0.12,-0.12,0.42
2020-08-12 20:5:41.3000,0.12,0.01,-0.01
2020-08-12 20:5:41.4000,-0.02,0.02,0.03
2020-08-12 20:5:41.4990,-0.05,0.05,0.09
2020-08-12 20:5:41.5980,0.0,-0.04,-0.03
2020-08-12 20:5:41.6970,0.02,-0.0,-0.02
2020-08-12 20:5:41.7970,-0.0,0.0,0.01
2020-08-12 20:5:41.8960,-0.04,0.01,-0.01
2020-08-12 20:5:41.9950,-0.05,0.0,0.03
2020-08-12 20:5:42.0960,-0.04,-0.01,0.01
2020-08-12 20:5:42.1940,-0.15,-0.12,-0.04
2020-08-12 20:5:42.2930,-0.58,-0.46,-0.01
2020-08-12 20:5:42.3920,0.33,-0.31,0.06
2020-08-12 20:5:42.4920,-0.95,0.16,-0.01
2020-08-12 20:5:42.5910,-0.28,-0.32,-0.12
2020-08-12 20:5:42.6900,0.24,-0.49,0.02
2020-08-12 20:5:42.7890,0.98,-0.08,0.19
2020-08-12 20:5:42.8890,1.03,0.07,0.24
2020-08-12 20:5:42.9880,0.86,-0.18,-0.51
2020-08-12 20:5:43.0870,0.26,-0.07,-0.2
2020-08-12 20:5:43.1860,-0.11,0.05,0.1
2020-08-12 20:5:43.2860,-0.02,-0.0,-0.03
2020-08-12 20:5:43.3850,-0.04,0.01,0.05
2020-08-12 20:5:43.4840,-0.04,0.0,-0.0
2020-08-12 20:5:43.5830,-0.02,0.0,-0.01
2020-08-12 20:5:43.6830,-0.06,-0.0,0.02
2020-08-12 20:5:43.7820,-0.04,-0.0,0.01
2020-08-12 20:5:43.8810,-0.09,0.01,0.02
2020-08-12 20:5:43.9800,-0.02,-0.04,-0.01
2020-08-12 20:5:44.0790,-0.08,-0.11,-0.02
2020-08-12 20:5:44.1790,-0.68,-0.59,-0.03
2020-08-12 20:5:44.2780,0.31,-0.42,0.03
2020-08-12 20:5:44.3770,-0.98,0.18,0.03
2020-08-12 20:5:44.4770,0.06,-0.44,-0.23
2020-08-12 20:5:44.5760,0.34,-0.28,-0.11
2020-08-12 20:5:44.6750,0.87,-0.13,0.18
2020-08-12 20:5:44.7740,1.02,0.08,0.23
2020-08-12 20:5:44.8740,0.77,-0.08,-0.24
2020-08-12 20:5:44.9730,-0.07,0.01,-0.08
2020-08-12 20:5:45.0720,-0.06,0.0,0.03
2020-08-12 20:5:45.1710,0.06,-0.01,-0.05
2020-08-12 20:5:45.2710,0.03,0.03,0.03
2020-08-12 20:5:45.3700,0.01,-0.04,-0.0
2020-08-12 20:5:45.4690,0.02,0.03,0.03
2020-08-12 20:5:45.5680,-0.01,0.01,0.01
2020-08-12 20:5:45.6680,-0.03,-0.01,-0.02
2020-08-12 20:5:45.7670,-0.06,0.02,0.02
2020-08-12 20:5:45.8660,-0.04,0.0,-0.01
2020-08-12 20:5:45.9650,-0.06,-0.02,-0.0
2020-08-12 20:5:46.0650,-0.14,-0.06,-0.01
2020-08-12 20:5:46.1640,-0.59,-0.78,0.1
2020-08-12 20:5:46.2630,0.14,-0.34,-0.05
2020-08-12 20:5:46.3620,-1.09,0.28,0.01
2020-08-12 20:5:46.4620,-0.17,-0.43,-0.17
2020-08-12 20:5:46.5610,0.22,-0.35,0.07
2020-08-12 20:5:46.6600,0.62,-0.18,0.24
2020-08-12 20:5:46.7590,0.96,0.06,0.13
2020-08-12 20:5:46.8590,-0.18,-1.15,0.76
2020-08-12 20:5:46.9580,0.35,-0.25,0.31
2020-08-12 20:5:47.0570,0.08,0.01,0.0
2020-08-12 20:5:47.1560,0.0,0.01,0.01
2020-08-12 20:5:47.2550,-0.03,0.01,0.01
2020-08-12 20:5:47.3550,-0.05,0.04,0.04
2020-08-12 20:5:47.4540,-0.0,-0.0,-0.06
2020-08-12 20:5:47.5530,-0.0,-0.02,-0.03
2020-08-12 20:5:47.6530,-0.02,0.0,-0.0
2020-08-12 20:5:47.7520,-0.05,0.01,0.02
2020-08-12 20:5:47.8510,-0.04,-0.02,0.01
2020-08-12 20:5:47.9500,-0.01,-0.05,0.0
2020-08-12 20:5:48.0500,-0.08,-0.14,-0.06
2020-08-12 20:5:48.1490,-0.69,-0.55,0.03
2020-08-12 20:5:48.2480,-0.19,-0.21,0.13
2020-08-12 20:5:48.3470,-0.9,0.08,0.02
2020-08-12 20:5:48.4470,0.12,-0.52,-0.04
2020-08-12 20:5:48.5460,0.4,-0.35,0.06
2020-08-12 20:5:48.6450,0.78,-0.08,0.22
2020-08-12 20:5:48.7440,0.96,0.03,0.24
2020-08-12 20:5:48.8440,0.78,-0.09,-0.33
2020-08-12 20:5:48.9430,0.02,0.02,-0.09
2020-08-12 20:5:49.0420,-0.12,0.02,0.05
2020-08-12 20:5:49.1410,0.16,-0.09,-0.12
2020-08-12 20:5:49.2410,0.01,0.02,0.02
2020-08-12 20:5:49.3400,-0.01,-0.01,0.02
2020-08-12 20:5:49.4390,0.05,-0.01,-0.05
2020-08-12 20:5:49.5390,-0.09,0.03,0.03
2020-08-12 20:5:49.6380,-0.04,0.02,0.02
2020-08-12 20:5:49.7370,-0.05,0.01,-0.02
2020-08-12 20:5:49.8360,-0.07,-0.01,0.02
2020-08-12 20:5:49.9350,-0.04,-0.01,0.04
2020-08-12 20:5:50.0350,-0.06,-0.07,0.0
2020-08-12 20:5:50.1340,-0.43,-0.48,-0.08
2020-08-12 20:5:50.2330,-0.03,-0.36,0.32
2020-08-12 20:5:50.3320,-1.07,0.07,-0.07
2020-08-12 20:5:50.4320,-0.11,-0.43,-0.11
2020-08-12 20:5:50.5310,0.36,-0.32,-0.02
2020-08-12 20:5:50.6300,0.97,-0.12,0.19
2020-08-12 20:5:50.7300,1.14,0.04,0.3
2020-08-12 20:5:50.8290,0.95,-0.33,-0.45
2020-08-12 20:5:50.9280,0.4,-0.1,-0.07
2020-08-12 20:5:51.0270,-0.07,0.04,0.1
2020-08-12 20:5:51.1270,-0.02,-0.02,-0.03
2020-08-12 20:5:51.2260,-0.08,0.03,0.08
2020-08-12 20:5:51.3250,-0.03,0.03,0.05
2020-08-12 20:5:51.4240,0.1,-0.05,-0.15
2020-08-12 20:5:51.5240,0.01,-0.03,0.0
2020-08-12 20:5:51.6230,-0.02,0.02,-0.02
2020-08-12 20:5:51.7220,-0.06,-0.0,0.01
2020-08-12 20:5:51.8210,-0.04,-0.01,0.02
2020-08-12 20:5:51.9210,-0.07,-0.04,0.01
2020-08-12 20:5:52.0200,-0.24,-0.16,-0.04
2020-08-12 20:5:52.1190,-0.94,-0.45,0.03
2020-08-12 20:5:52.2180,-0.91,0.05,-0.16
2020-08-12 20:5:52.3180,-0.75,0.02,-0.11
2020-08-12 20:5:52.4170,0.19,-0.6,-0.08
2020-08-12 20:5:52.5160,0.59,-0.31,0.09
2020-08-12 20:5:52.6150,1.03,-0.02,0.22
2020-08-12 20:5:52.7150,-1.43,-0.32,-0.65
2020-08-12 20:5:52.8140,0.25,0.02,0.24
2020-08-12 20:5:52.9130,-0.23,0.0,0.05
2020-08-12 20:5:53.0120,-0.03,0.03,0.0
2020-08-12 20:5:53.1120,0.09,-0.04,-0.04
2020-08-12 20:5:53.2110,-0.01,-0.02,-0.05
2020-08-12 20:5:53.3100,0.0,-0.0,-0.01
2020-08-12 20:5:53.4090,-0.05,0.02,0.01
2020-08-12 20:5:53.5090,-0.03,0.02,-0.0
2020-08-12 20:5:53.6080,-0.07,0.01,0.02
2020-08-12 20:5:53.7070,-0.0,-0.02,-0.04
2020-08-12 20:5:53.8060,-0.06,-0.03,0.02
2020-08-12 20:5:53.9060,-0.18,-0.25,0.0
2020-08-12 20:5:54.0050,-0.61,-0.45,-0.03
2020-08-12 20:5:54.1040,-0.01,-0.16,0.14
2020-08-12 20:5:54.2030,-0.91,0.09,-0.08
2020-08-12 20:5:54.3030,-0.13,-0.38,-0.2
2020-08-12 20:5:54.4020,0.33,-0.39,0.04
2020-08-12 20:5:54.5010,0.86,-0.12,0.21
2020-08-12 20:5:54.6000,1.03,0.09,0.3
2020-08-12 20:5:54.7000,0.81,-0.25,-0.16
2020-08-12 20:5:54.7990,0.24,-0.02,-0.14
2020-08-12 20:5:54.8980,-0.08,0.02,0.07
2020-08-12 20:5:54.9980,-0.06,0.02,0.02
2020-08-12 20:5:55.0970,0.01,0.01,-0.02
2020-08-12 20:5:55.1960,-0.02,0.0,-0.0
2020-08-12 20:5:55.2950,-0.03,0.01,0.01
2020-08-12 20:5:55.3940,-0.03,-0.01,0.03
2020-08-12 20:5:55.4940,-0.01,0.01,0.03
2020-08-12 20:5:55.5930,-0.02,0.01,0.01
2020-08-12 20:5:55.6920,-0.03,-0.01,0.0
2020-08-12 20:5:55.7920,-0.07,-0.08,0.02
2020-08-12 20:5:55.8910,-0.42,-0.53,0.02
2020-08-12 20:5:55.9900,-0.47,-0.25,0.18
2020-08-12 20:5:56.0890,-1.2,0.45,0.11
2020-08-12 20:5:56.1880,-0.37,-0.19,-0.11
2020-08-12 20:5:56.2880,0.21,-0.41,-0.02
2020-08-12 20:5:56.3870,0.77,-0.21,0.13
2020-08-12 20:5:56.4860,0.72,0.01,0.13
2020-08-12 20:5:56.5860,-0.35,-0.45,-0.53
2020-08-12 20:5:56.6850,0.59,-0.0,0.13
2020-08-12 20:5:56.7840,-0.17,0.03,-0.13
2020-08-12 20:5:56.8830,-0.08,0.05,0.02
2020-08-12 20:5:56.9830,-0.03,0.01,0.04
2020-08-12 20:5:57.0820,-0.05,0.02,-0.01
2020-08-12 20:5:57.1810,0.03,-0.01,-0.01
2020-08-12 20:5:57.2800,-0.04,0.02,0.01
2020-08-12 20:5:57.3800,-0.03,-0.0,-0.01
2020-08-12 20:5:57.4790,-0.03,0.0,0.0
2020-08-12 20:5:57.5780,-0.01,-0.02,0.01
2020-08-12 20:5:57.6770,-0.03,-0.08,-0.02
2020-08-12 20:5:57.7760,-0.37,-0.55,0.06
2020-08-12 20:5:57.8760,-0.47,-0.21,0.49
2020-08-12 20:5:57.9750,-1.36,0.31,0.07
2020-08-12 20:5:58.0740,-0.45,-0.32,-0.09
2020-08-12 20:5:58.1740,0.29,-0.48,0.05
2020-08-12 20:5:58.2730,1.01,-0.18,0.19
2020-08-12 20:5:58.3720,1.46,0.05,0.34
2020-08-12 20:5:58.4710,0.63,-0.4,-0.23
2020-08-12 20:5:58.5710,0.27,-0.05,0.0
2020-08-12 20:5:58.6700,-0.02,0.05,0.11
2020-08-12 20:5:58.7690,-0.0,0.0,-0.04
2020-08-12 20:5:58.8680,-0.03,0.01,0.03
2020-08-12 20:5:58.9680,0.02,0.0,-0.01
2020-08-12 20:5:59.0670,-0.02,0.01,0.02
2020-08-12 20:5:59.1660,-0.03,0.0,0.01
2020-08-12 20:5:59.2650,-0.02,-0.01,-0.0
2020-08-12 20:5:59.3650,-0.07,0.01,-0.01
2020-08-12 20:5:59.4640,-0.07,-0.0,0.02
2020-08-12 20:5:59.5630,-0.09,-0.04,0.01
2020-08-12 20:5:59.6620,-0.33,-0.39,-0.0
2020-08-12 20:5:59.7610,-0.86,-0.32,0.15
2020-08-12 20:5:59.8610,-1.42,0.36,-0.04
2020-08-12 20:5:59.9600,-0.75,-0.11,-0.02
2020-08-12 20:6:00.0590,0.04,-0.46,-0.08
