time,ax,ay,az
2020-08-10 16:3:34.0870,0.01,-0.01,0.0
2020-08-10 16:3:34.1970,-0.0,0.01,-0.03
2020-08-10 16:3:34.2850,0.02,-0.0,0.01
2020-08-10 16:3:34.3900,-0.03,0.01,0.02
2020-08-10 16:3:34.4840,-0.04,-0.0,0.01
2020-08-10 16:3:34.5920,-0.0,-0.01,-0.02
2020-08-10 16:3:34.6820,-0.03,0.01,0.01
2020-08-10 16:3:34.7920,-0.02,0.02,0.01
2020-08-10 16:3:34.8810,-0.01,-0.0,0.01
2020-08-10 16:3:34.9910,-0.02,-0.01,-0.03
2020-08-10 16:3:35.0790,0.01,-0.02,-0.02
2020-08-10 16:3:35.1890,0.01,-0.01,0.01
2020-08-10 16:3:35.2780,-0.01,0.03,0.03
2020-08-10 16:3:35.3870,0.0,0.03,-0.01
2020-08-10 16:3:35.4770,0.01,0.02,0.01
2020-08-10 16:3:35.5910,0.06,-0.01,-0.03
2020-08-10 16:3:35.6750,-0.01,0.01,0.0
2020-08-10 16:3:35.7790,0.01,0.01,-0.0
2020-08-10 16:3:35.8740,0.02,0.01,-0.02
2020-08-10 16:3:35.9830,-0.01,-0.0,0.01
2020-08-10 16:3:36.0720,-0.01,0.0,-0.0
2020-08-10 16:3:36.1810,-0.0,0.0,-0.02
2020-08-10 16:3:36.2710,-0.01,0.0,-0.0
2020-08-10 16:3:36.3820,-0.0,-0.0,-0.01
2020-08-10 16:3:36.4690,0.0,0.01,0.0
2020-08-10 16:3:36.5770,0.0,0.0,-0.01
2020-08-10 16:3:36.6680,0.01,0.0,-0.0
2020-08-10 16:3:36.7770,-0.0,0.0,0.01
2020-08-10 16:3:36.8660,0.01,0.0,-0.01
2020-08-10 16:3:36.9750,-0.01,-0.01,-0.01
2020-08-10 16:3:37.0650,0.0,0.0,-0.01
2020-08-10 16:3:37.1760,0.04,0.07,-0.02
2020-08-10 16:3:37.2630,-0.03,0.01,0.07
2020-08-10 16:3:37.3770,-0.01,-0.02,-0.02
2020-08-10 16:3:37.4620,0.0,0.02,-0.01
2020-08-10 16:3:37.5610,-0.05,0.01,0.0
2020-08-10 16:3:37.6770,0.01,0.0,-0.0
2020-08-10 16:3:37.7600,-0.02,0.01,-0.03
2020-08-10 16:3:37.8590,0.03,-0.01,-0.01
2020-08-10 16:3:37.9710,-0.02,0.07,-0.07
2020-08-10 16:3:38.0580,-0.08,0.02,0.01
2020-08-10 16:3:38.1660,0.03,-0.02,-0.02
2020-08-10 16:3:38.2560,0.0,0.04,0.04
2020-08-10 16:3:38.3620,-0.03,0.01,-0.01
2020-08-10 16:3:38.4540,0.0,0.01,-0.04
2020-08-10 16:3:38.5600,-0.0,0.01,0.0
2020-08-10 16:3:38.6530,-0.04,-0.01,-0.03
2020-08-10 16:3:38.7580,-0.03,-0.01,-0.01
2020-08-10 16:3:38.8520,-0.02,0.0,-0.01
2020-08-10 16:3:38.9600,0.0,-0.01,-0.02
2020-08-10 16:3:39.0500,-0.0,-0.01,0.04
2020-08-10 16:3:39.1580,-0.01,-0.0,0.03
2020-08-10 16:3:39.2490,-0.24,-0.08,0.09
2020-08-10 16:3:39.3580,-0.06,-0.31,0.4
2020-08-10 16:3:39.4470,-0.89,0.3,-0.12
2020-08-10 16:3:39.5580,-0.22,-0.11,-0.23
2020-08-10 16:3:39.6460,0.32,-0.28,-0.1
2020-08-10 16:3:39.7540,0.53,0.07,-0.02
2020-08-10 16:3:39.8440,0.46,0.04,-0.01
2020-08-10 16:3:39.9520,-1.15,-0.25,-0.2
2020-08-10 16:3:40.0430,0.2,-0.03,-0.2
2020-08-10 16:3:40.1500,0.25,-0.07,0.04
2020-08-10 16:3:40.2420,0.07,0.03,0.04
2020-08-10 16:3:40.3540,0.02,0.01,-0.0
2020-08-10 16:3:40.4400,-0.01,-0.01,0.0
2020-08-10 16:3:40.5470,-0.02,0.0,-0.04
2020-08-10 16:3:40.6380,-0.02,0.02,-0.02
2020-08-10 16:3:40.7440,-0.05,-0.03,-0.01
2020-08-10 16:3:40.8370,-0.07,-0.18,-0.05
2020-08-10 16:3:40.9440,-0.32,-0.59,-0.04
2020-08-10 16:3:41.0350,-0.64,-0.44,0.32
2020-08-10 16:3:41.1420,-0.75,0.07,0.07
2020-08-10 16:3:41.2340,-0.68,0.11,0.04
2020-08-10 16:3:41.3450,0.26,-0.46,-0.14
2020-08-10 16:3:41.4330,0.17,-0.25,-0.03
2020-08-10 16:3:41.5400,0.71,-0.37,0.07
2020-08-10 16:3:41.6310,1.08,-0.02,0.1
2020-08-10 16:3:41.7420,-1.74,-0.01,-0.33
2020-08-10 16:3:41.8300,0.12,-0.08,-0.06
2020-08-10 16:3:41.9410,0.03,-0.03,-0.17
2020-08-10 16:3:42.0280,-0.05,0.04,0.05
2020-08-10 16:3:42.1380,-0.04,0.01,0.0
2020-08-10 16:3:42.2270,-0.01,-0.0,0.01
2020-08-10 16:3:42.3340,-0.06,0.02,0.02
2020-08-10 16:3:42.4250,-0.04,-0.02,-0.02
2020-08-10 16:3:42.5350,-0.07,-0.11,-0.03
2020-08-10 16:3:42.6240,-0.18,-0.26,0.01
2020-08-10 16:3:42.7310,-0.53,-0.64,-0.04
2020-08-10 16:3:42.8220,-0.27,-0.21,0.06
2020-08-10 16:3:42.9310,-0.87,0.3,0.11
2020-08-10 16:3:43.0210,-0.62,0.13,-0.09
2020-08-10 16:3:43.1320,0.18,-0.46,0.01
2020-08-10 16:3:43.2190,0.59,-0.5,0.05
2020-08-10 16:3:43.3280,0.81,-0.04,0.11
2020-08-10 16:3:43.4180,0.9,0.01,0.05
2020-08-10 16:3:43.5360,-2.6,-0.03,-0.53
2020-08-10 16:3:43.6160,0.14,-0.12,0.25
2020-08-10 16:3:43.7200,-0.05,-0.04,-0.15
2020-08-10 16:3:43.8150,-0.06,0.01,0.04
2020-08-10 16:3:43.9260,-0.04,0.04,0.03
2020-08-10 16:3:44.0140,0.02,-0.02,-0.06
2020-08-10 16:3:44.1240,-0.02,0.0,0.01
2020-08-10 16:3:44.2120,-0.03,-0.05,-0.04
2020-08-10 16:3:44.3200,-0.04,-0.08,0.03
2020-08-10 16:3:44.4110,-0.17,-0.25,0.0
2020-08-10 16:3:44.5270,-0.44,-0.76,-0.04
2020-08-10 16:3:44.6090,-0.3,-0.15,0.2
2020-08-10 16:3:44.7190,-1.01,0.27,0.04
2020-08-10 16:3:44.8070,-0.63,0.08,-0.08
2020-08-10 16:3:44.9230,0.2,-0.4,-0.1
2020-08-10 16:3:45.0060,0.51,-0.44,-0.01
2020-08-10 16:3:45.1120,1.17,-0.11,0.14
2020-08-10 16:3:45.2050,0.67,-0.17,0.09
2020-08-10 16:3:45.3160,0.47,-0.24,-0.15
2020-08-10 16:3:45.4030,0.14,-0.01,-0.08
2020-08-10 16:3:45.5090,-0.02,0.01,0.07
2020-08-10 16:3:45.6020,-0.05,0.01,-0.01
2020-08-10 16:3:45.7110,-0.02,0.03,0.02
2020-08-10 16:3:45.8000,-0.02,-0.02,-0.03
2020-08-10 16:3:45.9080,-0.06,0.0,-0.01
2020-08-10 16:3:45.9990,-0.04,-0.05,-0.02
2020-08-10 16:3:46.1070,-0.02,-0.15,-0.05
2020-08-10 16:3:46.1970,-0.23,-0.37,-0.04
2020-08-10 16:3:46.3040,-0.7,-0.28,0.3
2020-08-10 16:3:46.3960,-0.16,-0.23,-0.05
2020-08-10 16:3:46.5060,-0.78,0.18,0.1
2020-08-10 16:3:46.5940,-0.22,-0.22,-0.21
2020-08-10 16:3:46.7060,0.32,-0.33,-0.08
2020-08-10 16:3:46.7930,0.62,-0.3,-0.03
2020-08-10 16:3:46.9000,1.05,-0.06,0.13
2020-08-10 16:3:46.9910,0.32,-0.29,-0.1
2020-08-10 16:3:47.0960,0.43,-0.25,-0.01
2020-08-10 16:3:47.1900,0.09,-0.02,-0.06
2020-08-10 16:3:47.2950,0.06,-0.0,-0.04
2020-08-10 16:3:47.3890,-0.01,-0.04,-0.09
2020-08-10 16:3:47.4930,-0.01,0.01,0.02
2020-08-10 16:3:47.5870,-0.05,0.05,0.02
2020-08-10 16:3:47.7020,-0.0,0.01,-0.08
2020-08-10 16:3:47.7860,-0.04,-0.09,-0.03
2020-08-10 16:3:47.8930,-0.14,-0.23,-0.02
2020-08-10 16:3:47.9840,-0.27,-0.74,-0.16
2020-08-10 16:3:48.0930,-0.21,-0.29,0.23
2020-08-10 16:3:48.1830,-0.98,0.21,0.06
2020-08-10 16:3:48.2930,-0.62,0.14,-0.1
2020-08-10 16:3:48.3810,0.03,-0.54,-0.04
2020-08-10 16:3:48.4930,0.44,-0.33,-0.06
2020-08-10 16:3:48.5800,0.64,-0.1,0.01
2020-08-10 16:3:48.6890,0.88,0.01,0.07
2020-08-10 16:3:48.7780,-1.15,-0.07,-0.09
2020-08-10 16:3:48.8950,0.3,-0.23,-0.03
2020-08-10 16:3:48.9770,-0.05,-0.01,-0.06
2020-08-10 16:3:49.0760,0.01,-0.02,-0.01
2020-08-10 16:3:49.1890,-0.02,-0.0,-0.01
