time,ax,ay,az
2020-08-12 20:1:26.9110,0.07,-0.06,0.1
2020-08-12 20:1:27.0110,-0.02,0.0,0.01
2020-08-12 20:1:27.1100,-0.02,0.01,0.0
2020-08-12 20:1:27.2090,0.02,0.02,0.02
2020-08-12 20:1:27.3090,-0.01,0.0,0.0
2020-08-12 20:1:27.4080,0.01,-0.02,-0.0
2020-08-12 20:1:27.5070,0.01,0.01,0.01
2020-08-12 20:1:27.6060,0.01,-0.01,0.01
2020-08-12 20:1:27.7060,-0.03,0.02,0.0
2020-08-12 20:1:27.8050,-0.04,0.04,-0.02
2020-08-12 20:1:27.9040,-0.27,0.04,0.07
2020-08-12 20:1:28.0040,-0.07,0.02,0.04
2020-08-12 20:1:28.1030,0.01,0.01,-0.02
2020-08-12 20:1:28.2010,0.02,-0.01,-0.02
2020-08-12 20:1:28.3010,0.05,0.0,-0.02
2020-08-12 20:1:28.4000,0.0,0.0,0.05
2020-08-12 20:1:28.5000,0.02,-0.03,0.06
2020-08-12 20:1:28.5990,0.03,-0.01,-0.0
2020-08-12 20:1:28.6980,0.0,0.01,0.03
2020-08-12 20:1:28.7980,0.01,0.01,-0.02
2020-08-12 20:1:28.8970,-0.02,0.02,0.03
2020-08-12 20:1:28.9950,-0.05,0.01,0.03
2020-08-12 20:1:29.0950,-0.1,-0.03,0.04
2020-08-12 20:1:29.1950,-0.28,-0.27,0.23
2020-08-12 20:1:29.2940,-0.25,-0.32,0.08
2020-08-12 20:1:29.3930,-0.13,0.04,0.25
2020-08-12 20:1:29.4910,-0.71,0.17,0.08
2020-08-12 20:1:29.5900,-0.23,0.01,-0.08
2020-08-12 20:1:29.6910,0.04,-0.02,-0.12
2020-08-12 20:1:29.7900,0.04,-0.11,-0.13
2020-08-12 20:1:29.8890,0.1,-0.1,-0.03
2020-08-12 20:1:29.9890,0.34,-0.04,0.11
2020-08-12 20:1:30.0880,0.46,0.05,0.13
2020-08-12 20:1:30.1870,0.41,0.02,-0.17
2020-08-12 20:1:30.2850,0.11,0.12,-0.16
2020-08-12 20:1:30.3860,-0.03,0.01,-0.02
2020-08-12 20:1:30.4850,0.04,-0.01,0.02
2020-08-12 20:1:30.5830,0.05,0.03,-0.0
2020-08-12 20:1:30.6820,0.02,-0.01,0.01
2020-08-12 20:1:30.7830,-0.02,-0.01,-0.02
2020-08-12 20:1:30.8820,-0.06,0.01,0.04
2020-08-12 20:1:30.9810,-0.06,-0.02,0.02
2020-08-12 20:1:31.0790,-0.1,-0.14,0.05
2020-08-12 20:1:31.1780,-0.31,-0.53,0.02
2020-08-12 20:1:31.2780,-0.17,-0.15,0.29
2020-08-12 20:1:31.3770,-0.93,0.2,0.08
2020-08-12 20:1:31.4760,-0.56,-0.04,0.02
2020-08-12 20:1:31.5770,0.01,-0.25,-0.04
2020-08-12 20:1:31.6760,0.17,-0.25,-0.02
2020-08-12 20:1:31.7750,0.36,-0.07,0.05
2020-08-12 20:1:31.8750,0.41,-0.06,0.04
2020-08-12 20:1:31.9730,0.69,0.05,0.14
2020-08-12 20:1:32.0730,-0.32,-0.29,0.28
2020-08-12 20:1:32.1720,-0.19,0.07,0.32
2020-08-12 20:1:32.2720,0.0,-0.04,-0.01
2020-08-12 20:1:32.3700,-0.01,0.01,-0.04
2020-08-12 20:1:32.4700,0.05,0.0,0.04
2020-08-12 20:1:32.5680,0.03,0.03,0.0
2020-08-12 20:1:32.6670,0.07,0.02,-0.03
2020-08-12 20:1:32.7680,-0.03,-0.0,-0.0
2020-08-12 20:1:32.8670,0.07,-0.03,-0.08
2020-08-12 20:1:32.9660,-0.06,-0.13,0.13
2020-08-12 20:1:33.0660,-0.25,-0.55,-0.03
2020-08-12 20:1:33.1650,-0.04,-0.14,0.28
2020-08-12 20:1:33.2630,-0.75,0.21,-0.02
2020-08-12 20:1:33.3620,-0.41,0.05,-0.0
2020-08-12 20:1:33.4630,-0.2,-0.11,0.0
2020-08-12 20:1:33.5610,-0.01,-0.23,-0.05
2020-08-12 20:1:33.6600,0.23,-0.18,0.04
2020-08-12 20:1:33.7590,0.37,-0.06,0.08
2020-08-12 20:1:33.8590,0.61,0.02,0.15
2020-08-12 20:1:33.9590,0.73,0.07,0.1
2020-08-12 20:1:34.0580,0.4,-0.16,-0.1
2020-08-12 20:1:34.1570,0.06,-0.0,-0.03
2020-08-12 20:1:34.2550,0.06,0.01,0.08
2020-08-12 20:1:34.3560,0.04,0.02,0.06
2020-08-12 20:1:34.4540,0.01,0.01,0.04
2020-08-12 20:1:34.5550,-0.04,0.02,0.05
2020-08-12 20:1:34.6520,0.04,-0.05,0.01
2020-08-12 20:1:34.7520,-0.01,-0.07,-0.06
2020-08-12 20:1:34.8520,-0.42,-0.34,0.11
2020-08-12 20:1:34.9500,-0.06,0.01,0.25
2020-08-12 20:1:35.0510,-0.48,0.05,-0.03
2020-08-12 20:1:35.1500,-0.35,-0.04,-0.01
2020-08-12 20:1:35.2480,-0.21,-0.12,-0.0
2020-08-12 20:1:35.3480,-0.09,-0.14,-0.0
2020-08-12 20:1:35.4460,0.09,-0.14,0.13
2020-08-12 20:1:35.5460,0.39,-0.1,0.07
2020-08-12 20:1:35.6460,0.46,-0.01,0.01
2020-08-12 20:1:35.7450,0.87,0.06,0.17
2020-08-12 20:1:35.8450,0.35,-0.5,-0.04
2020-08-12 20:1:35.9440,0.11,0.02,0.04
2020-08-12 20:1:36.0420,0.02,-0.01,0.05
2020-08-12 20:1:36.1420,-0.03,-0.01,0.05
2020-08-12 20:1:36.2400,-0.01,0.04,0.05
2020-08-12 20:1:36.3410,-0.03,0.03,0.05
2020-08-12 20:1:36.4390,-0.08,0.05,0.05
2020-08-12 20:1:36.5380,0.02,-0.02,-0.03
2020-08-12 20:1:36.6380,-0.01,-0.05,0.06
2020-08-12 20:1:36.7370,-0.23,-0.41,0.07
2020-08-12 20:1:36.8360,-0.24,-0.17,0.31
2020-08-12 20:1:36.9350,-0.56,0.13,-0.06
2020-08-12 20:1:37.0360,-0.5,0.05,0.1
2020-08-12 20:1:37.1340,-0.25,-0.06,0.07
2020-08-12 20:1:37.2330,-0.06,-0.19,-0.02
2020-08-12 20:1:37.3320,0.23,-0.24,0.03
2020-08-12 20:1:37.4320,0.62,-0.12,-0.04
2020-08-12 20:1:37.5310,0.67,0.02,0.0
2020-08-12 20:1:37.6300,0.57,0.06,0.18
2020-08-12 20:1:37.7310,-0.56,-0.26,0.24
2020-08-12 20:1:37.8290,0.09,-0.04,0.25
2020-08-12 20:1:37.9280,-0.02,-0.01,0.02
2020-08-12 20:1:38.0270,-0.01,-0.02,-0.01
2020-08-12 20:1:38.1260,-0.06,0.03,0.03
2020-08-12 20:1:38.2260,0.04,0.01,-0.05
2020-08-12 20:1:38.3250,-0.07,0.02,0.01
2020-08-12 20:1:38.4240,-0.06,-0.01,0.02
2020-08-12 20:1:38.5230,-0.07,-0.06,0.09
2020-08-12 20:1:38.6240,-0.28,-0.44,0.07
2020-08-12 20:1:38.7220,-0.22,-0.31,0.33
2020-08-12 20:1:38.8210,-0.7,0.31,-0.13
2020-08-12 20:1:38.9200,-0.34,0.07,-0.02
2020-08-12 20:1:39.0210,-0.13,-0.19,0.04
2020-08-12 20:1:39.1200,0.07,-0.08,0.02
2020-08-12 20:1:39.2180,0.07,-0.14,0.01
2020-08-12 20:1:39.3170,0.37,-0.1,0.13
2020-08-12 20:1:39.4180,0.46,0.01,0.06
2020-08-12 20:1:39.5160,0.62,0.07,0.08
2020-08-12 20:1:39.6150,-0.6,-0.25,0.11
2020-08-12 20:1:39.7150,0.03,0.02,0.24
2020-08-12 20:1:39.8140,-0.03,0.0,0.01
2020-08-12 20:1:39.9130,-0.02,0.01,0.02
2020-08-12 20:1:40.0120,-0.03,0.01,0.03
2020-08-12 20:1:40.1120,0.0,0.0,0.01
2020-08-12 20:1:40.2110,-0.01,-0.03,-0.04
2020-08-12 20:1:40.3100,-0.02,-0.1,0.04
2020-08-12 20:1:40.4090,-0.17,-0.25,0.0
2020-08-12 20:1:40.5090,-0.38,-0.28,0.05
2020-08-12 20:1:40.6090,-0.16,0.12,0.06
2020-08-12 20:1:40.7070,-0.56,0.04,0.05
2020-08-12 20:1:40.8060,-0.38,-0.03,0.03
2020-08-12 20:1:40.9060,-0.21,-0.17,0.02
2020-08-12 20:1:41.0050,0.12,-0.15,-0.02
2020-08-12 20:1:41.1040,0.34,-0.08,0.04
2020-08-12 20:1:41.2030,0.55,-0.01,0.07
2020-08-12 20:1:41.3030,0.72,0.04,0.09
2020-08-12 20:1:41.4020,0.25,-0.32,-0.02
2020-08-12 20:1:41.5010,0.15,0.12,0.08
2020-08-12 20:1:41.6010,0.01,-0.01,0.07
2020-08-12 20:1:41.7000,0.02,0.01,0.01
2020-08-12 20:1:41.7990,-0.03,0.0,0.04
2020-08-12 20:1:41.8980,-0.02,0.0,0.03
2020-08-12 20:1:41.9970,-0.05,0.02,0.02
2020-08-12 20:1:42.0970,-0.05,-0.05,-0.01
2020-08-12 20:1:42.1960,-0.1,-0.23,0.01
2020-08-12 20:1:42.2950,-0.28,-0.37,0.03
2020-08-12 20:1:42.3940,-0.02,0.06,0.01
2020-08-12 20:1:42.4940,-0.66,0.07,0.08
2020-08-12 20:1:42.5930,-0.3,-0.02,0.0
2020-08-12 20:1:42.6940,-0.15,-0.1,0.07
2020-08-12 20:1:42.7910,0.06,-0.21,0.04
2020-08-12 20:1:42.8910,0.37,-0.17,0.04
2020-08-12 20:1:42.9900,0.41,-0.03,0.06
2020-08-12 20:1:43.0890,0.65,0.03,0.03
2020-08-12 20:1:43.1880,-0.12,-0.34,-0.47
2020-08-12 20:1:43.2880,0.23,0.01,-0.03
2020-08-12 20:1:43.3870,0.06,0.01,-0.08
2020-08-12 20:1:43.4860,0.09,-0.03,-0.01
2020-08-12 20:1:43.5850,-0.01,0.01,0.02
2020-08-12 20:1:43.6850,-0.0,-0.01,0.01
2020-08-12 20:1:43.7840,-0.01,-0.02,-0.01
2020-08-12 20:1:43.8830,-0.09,-0.03,0.07
2020-08-12 20:1:43.9820,-0.01,-0.17,-0.09
2020-08-12 20:1:44.0820,-0.44,-0.32,0.1
2020-08-12 20:1:44.1810,-0.23,0.08,0.19
2020-08-12 20:1:44.2800,-0.47,0.08,0.11
2020-08-12 20:1:44.3800,-0.39,-0.01,0.02
2020-08-12 20:1:44.4790,-0.16,-0.09,0.05
2020-08-12 20:1:44.5780,-0.07,-0.19,-0.08
2020-08-12 20:1:44.6770,0.06,-0.18,-0.04
2020-08-12 20:1:44.7760,0.46,-0.11,0.09
2020-08-12 20:1:44.8760,0.7,0.03,0.12
2020-08-12 20:1:44.9750,0.69,0.07,0.11
