time,ax,ay,az
2020-08-12 19:6:39.4920,0.11,-0.0,-0.05
2020-08-12 19:6:39.5910,0.0,-0.01,0.0
2020-08-12 19:6:39.6910,0.01,-0.0,-0.01
2020-08-12 19:6:39.7900,-0.01,0.0,0.01
2020-08-12 19:6:39.8890,-0.01,0.0,0.01
2020-08-12 19:6:39.9880,0.01,-0.0,-0.02
2020-08-12 19:6:40.0880,0.03,-0.0,0.02
2020-08-12 19:6:40.1870,-0.07,0.0,-0.06
2020-08-12 19:6:40.2860,0.06,0.01,0.0
2020-08-12 19:6:40.3850,-0.01,-0.0,0.0
2020-08-12 19:6:40.4850,0.05,-0.0,-0.01
2020-08-12 19:6:40.5840,-0.03,-0.01,0.02
2020-08-12 19:6:40.6830,0.01,0.01,-0.0
2020-08-12 19:6:40.7830,0.0,-0.01,0.02
2020-08-12 19:6:40.8820,0.04,0.0,-0.02
2020-08-12 19:6:40.9810,-0.02,-0.0,0.02
2020-08-12 19:6:41.0800,0.01,-0.0,-0.02
2020-08-12 19:6:41.1800,-0.0,-0.01,-0.01
2020-08-12 19:6:41.2790,-0.01,-0.01,0.0
2020-08-12 19:6:41.3780,-0.01,0.01,0.01
2020-08-12 19:6:41.4780,-0.11,0.02,0.02
2020-08-12 19:6:41.5770,0.07,-0.02,-0.01
2020-08-12 19:6:41.6760,0.01,-0.01,0.01
2020-08-12 19:6:41.7750,-0.0,-0.01,0.02
2020-08-12 19:6:41.8750,0.04,-0.02,-0.03
2020-08-12 19:6:41.9740,-0.05,-0.0,0.02
2020-08-12 19:6:42.0730,0.01,-0.0,0.01
2020-08-12 19:6:42.1730,0.0,0.01,-0.01
2020-08-12 19:6:42.2720,0.02,0.01,0.0
2020-08-12 19:6:42.3710,-0.01,0.01,0.04
2020-08-12 19:6:42.4700,0.01,-0.0,0.03
2020-08-12 19:6:42.5700,0.13,-0.02,0.05
2020-08-12 19:6:42.6690,0.32,-0.18,-0.01
2020-08-12 19:6:42.7680,0.32,-0.08,0.24
2020-08-12 19:6:42.8670,0.64,0.29,-0.16
2020-08-12 19:6:42.9670,0.07,-0.14,-0.17
2020-08-12 19:6:43.0660,-1.02,-0.11,0.06
2020-08-12 19:6:43.1650,0.18,0.06,0.24
2020-08-12 19:6:43.2650,-0.34,-0.03,0.07
2020-08-12 19:6:43.3640,-0.03,0.03,0.11
2020-08-12 19:6:43.4630,0.07,0.02,0.05
2020-08-12 19:6:43.5620,0.07,-0.03,0.0
2020-08-12 19:6:43.6620,0.03,0.01,0.02
2020-08-12 19:6:43.7610,0.09,-0.09,0.05
2020-08-12 19:6:43.8600,0.23,-0.38,0.13
2020-08-12 19:6:43.9590,0.42,-0.48,0.32
2020-08-12 19:6:44.0590,0.13,-0.13,0.27
2020-08-12 19:6:44.1580,0.54,0.27,-0.09
2020-08-12 19:6:44.2570,0.22,0.03,0.0
2020-08-12 19:6:44.3570,-0.08,-0.18,-0.02
2020-08-12 19:6:44.4560,-1.15,-0.4,0.56
2020-08-12 19:6:44.5550,-0.57,-0.02,-0.05
2020-08-12 19:6:44.6550,-0.26,-0.69,-0.12
2020-08-12 19:6:44.7540,-0.65,-0.28,0.23
2020-08-12 19:6:44.8530,-0.14,0.01,0.12
2020-08-12 19:6:44.9520,0.09,-0.0,-0.02
2020-08-12 19:6:45.0510,0.06,-0.01,-0.0
2020-08-12 19:6:45.1510,0.0,-0.0,0.07
2020-08-12 19:6:45.2500,0.14,0.02,0.02
2020-08-12 19:6:45.3490,0.25,-0.22,-0.04
2020-08-12 19:6:45.4490,0.51,-0.5,0.15
2020-08-12 19:6:45.5480,0.43,-0.52,0.39
2020-08-12 19:6:45.6470,0.69,0.1,0.12
2020-08-12 19:6:45.7460,0.58,0.28,-0.16
2020-08-12 19:6:45.8460,-0.01,-0.05,0.02
2020-08-12 19:6:45.9450,-0.69,-0.64,0.06
2020-08-12 19:6:46.0440,-0.7,0.04,0.08
2020-08-12 19:6:46.1430,0.42,0.2,-0.68
2020-08-12 19:6:46.2430,-0.14,-0.49,0.22
2020-08-12 19:6:46.3420,-0.06,-0.01,0.01
2020-08-12 19:6:46.4410,0.02,-0.01,-0.02
2020-08-12 19:6:46.5400,-0.0,0.03,0.0
2020-08-12 19:6:46.6400,0.06,0.0,0.01
