time,ax,ay,az
2020-08-12 20:5:26.8960,-0.17,-0.14,0.1
2020-08-12 20:5:26.9950,-0.02,0.01,0.02
2020-08-12 20:5:27.0940,-0.01,0.02,-0.01
2020-08-12 20:5:27.1930,-0.01,0.01,0.01
2020-08-12 20:5:27.2930,0.01,-0.0,-0.0
2020-08-12 20:5:27.3920,-0.01,0.01,0.01
2020-08-12 20:5:27.4910,0.01,-0.0,-0.0
2020-08-12 20:5:27.5900,0.01,-0.0,-0.0
2020-08-12 20:5:27.6900,-0.0,0.0,-0.0
2020-08-12 20:5:27.7890,-0.0,0.0,-0.0
2020-08-12 20:5:27.8880,0.0,-0.01,0.0
2020-08-12 20:5:27.9870,-0.01,-0.0,0.0
2020-08-12 20:5:28.0870,0.0,-0.0,-0.0
2020-08-12 20:5:28.1860,0.0,-0.0,-0.0
2020-08-12 20:5:28.2850,0.0,-0.01,0.0
2020-08-12 20:5:28.3840,-0.0,-0.0,-0.0
2020-08-12 20:5:28.4840,-0.0,0.01,-0.0
2020-08-12 20:5:28.5830,0.0,-0.01,0.0
2020-08-12 20:5:28.6820,-0.0,0.0,-0.0
2020-08-12 20:5:28.7810,0.0,-0.01,-0.0
2020-08-12 20:5:28.8800,-0.01,0.01,0.0
2020-08-12 20:5:28.9800,-0.03,0.01,-0.01
2020-08-12 20:5:29.0790,-0.01,0.03,-0.0
2020-08-12 20:5:29.1790,-0.02,-0.01,0.0
2020-08-12 20:5:29.2770,0.01,-0.02,0.02
2020-08-12 20:5:29.3770,-0.01,-0.0,-0.01
2020-08-12 20:5:29.4760,0.02,-0.0,0.01
2020-08-12 20:5:29.5760,0.03,-0.02,0.02
2020-08-12 20:5:29.6750,0.06,-0.08,0.02
2020-08-12 20:5:29.7740,0.03,-0.02,-0.0
2020-08-12 20:5:29.8740,-0.1,0.05,0.11
2020-08-12 20:5:29.9720,0.18,0.1,-0.02
2020-08-12 20:5:30.0720,-0.17,0.08,-0.19
2020-08-12 20:5:30.1710,-0.04,-0.03,0.05
2020-08-12 20:5:30.2700,0.04,-0.01,-0.06
2020-08-12 20:5:30.3700,-0.02,-0.02,0.05
2020-08-12 20:5:30.4690,-0.06,0.02,0.01
2020-08-12 20:5:30.5680,-0.05,-0.03,-0.01
2020-08-12 20:5:30.6670,-0.02,0.01,0.01
2020-08-12 20:5:30.7670,0.06,-0.01,0.02
2020-08-12 20:5:30.8660,0.04,-0.01,0.02
2020-08-12 20:5:30.9660,-0.01,-0.03,-0.03
2020-08-12 20:5:31.0640,0.02,-0.02,0.01
2020-08-12 20:5:31.1640,0.02,-0.16,-0.01
2020-08-12 20:5:31.2630,0.14,-0.52,0.12
2020-08-12 20:5:31.3620,0.05,-0.33,0.32
2020-08-12 20:5:31.4620,0.79,0.26,0.01
2020-08-12 20:5:31.5610,0.5,0.15,-0.06
2020-08-12 20:5:31.6600,0.24,-0.14,0.02
2020-08-12 20:5:31.7590,-0.07,-0.16,0.06
2020-08-12 20:5:31.8590,-0.2,-0.18,0.0
2020-08-12 20:5:31.9580,-0.31,-0.14,-0.07
2020-08-12 20:5:32.0570,-0.35,-0.07,-0.11
2020-08-12 20:5:32.1570,-0.45,0.09,0.02
2020-08-12 20:5:32.2560,-0.41,0.01,-0.03
2020-08-12 20:5:32.3550,-0.47,-0.09,-0.34
2020-08-12 20:5:32.4540,-0.08,0.06,0.01
2020-08-12 20:5:32.5540,-0.08,0.01,0.04
2020-08-12 20:5:32.6530,0.04,0.0,-0.01
2020-08-12 20:5:32.7520,0.02,-0.01,-0.01
2020-08-12 20:5:32.8510,0.08,-0.04,0.02
2020-08-12 20:5:32.9510,0.08,-0.03,0.0
2020-08-12 20:5:33.0500,0.06,-0.08,0.02
2020-08-12 20:5:33.1490,0.03,-0.19,-0.05
2020-08-12 20:5:33.2480,0.17,-0.52,0.05
2020-08-12 20:5:33.3470,0.02,-0.0,0.19
2020-08-12 20:5:33.4470,0.56,0.17,-0.01
2020-08-12 20:5:33.5470,0.28,0.1,-0.06
2020-08-12 20:5:33.6460,0.16,0.01,-0.0
2020-08-12 20:5:33.7450,0.06,-0.06,-0.01
2020-08-12 20:5:33.8440,-0.12,-0.09,0.05
2020-08-12 20:5:33.9430,-0.1,-0.1,-0.04
2020-08-12 20:5:34.0430,-0.27,-0.03,0.06
2020-08-12 20:5:34.1420,-0.26,0.02,-0.02
2020-08-12 20:5:34.2410,-0.35,0.08,-0.0
2020-08-12 20:5:34.3410,-0.39,0.05,-0.11
2020-08-12 20:5:34.4390,0.32,-0.03,0.03
2020-08-12 20:5:34.5390,0.06,-0.05,-0.05
2020-08-12 20:5:34.6380,0.06,-0.0,0.02
2020-08-12 20:5:34.7370,0.03,-0.01,0.01
2020-08-12 20:5:34.8360,0.08,-0.02,0.02
2020-08-12 20:5:34.9360,0.02,-0.06,-0.01
2020-08-12 20:5:35.0350,0.08,-0.12,0.04
