time,ax,ay,az
2020-08-10 16:3:36.5320,-0.01,0.01,0.06
2020-08-10 16:3:36.6060,-0.01,0.04,0.0
2020-08-10 16:3:36.6960,-0.01,0.05,-0.01
2020-08-10 16:3:36.8000,-0.03,0.09,0.01
2020-08-10 16:3:36.8900,-0.04,0.05,-0.02
2020-08-10 16:3:36.9730,-0.02,0.05,-0.01
2020-08-10 16:3:37.0720,-0.01,0.0,0.0
2020-08-10 16:3:37.1720,0.01,0.06,0.01
2020-08-10 16:3:37.2720,0.02,0.02,-0.01
2020-08-10 16:3:37.3260,0.02,0.01,0.01
2020-08-10 16:3:37.4170,-0.0,0.03,-0.01
2020-08-10 16:3:37.5090,0.04,0.03,0.0
2020-08-10 16:3:37.6090,-0.01,0.05,0.01
2020-08-10 16:3:37.6990,-0.04,0.0,0.02
2020-08-10 16:3:37.7890,0.01,0.0,0.02
2020-08-10 16:3:37.8830,0.01,0.01,-0.0
2020-08-10 16:3:37.9770,0.01,0.02,0.02
2020-08-10 16:3:38.0640,-0.05,0.02,-0.01
2020-08-10 16:3:38.1630,-0.02,0.06,-0.0
2020-08-10 16:3:38.2620,0.01,0.04,-0.01
2020-08-10 16:3:38.3610,-0.01,0.02,-0.01
2020-08-10 16:3:38.4190,-0.02,0.02,0.02
2020-08-10 16:3:38.5090,-0.01,0.01,-0.0
2020-08-10 16:3:38.5990,-0.01,0.01,0.0
2020-08-10 16:3:38.6890,0.02,0.01,-0.01
2020-08-10 16:3:38.7800,0.01,0.04,-0.02
2020-08-10 16:3:38.8690,0.01,0.03,-0.0
2020-08-10 16:3:38.9700,0.0,0.05,-0.01
2020-08-10 16:3:39.0550,-0.0,0.05,-0.04
2020-08-10 16:3:39.1550,-0.03,0.05,0.06
2020-08-10 16:3:39.2560,-0.05,-0.02,0.01
2020-08-10 16:3:39.3530,0.04,0.0,0.05
2020-08-10 16:3:39.4520,-0.04,0.07,0.03
2020-08-10 16:3:39.5050,-0.01,0.02,-0.03
2020-08-10 16:3:39.5940,-0.0,0.0,0.01
2020-08-10 16:3:39.6930,-0.01,-0.01,-0.02
2020-08-10 16:3:39.7790,-0.01,-0.02,0.01
2020-08-10 16:3:39.8620,0.07,-0.17,-0.05
2020-08-10 16:3:39.9610,0.29,-0.38,0.07
2020-08-10 16:3:40.0500,0.64,-0.24,0.31
2020-08-10 16:3:40.1540,0.25,-0.05,0.2
2020-08-10 16:3:40.2460,0.64,0.22,0.08
2020-08-10 16:3:40.3450,0.44,0.13,-0.1
2020-08-10 16:3:40.4060,0.13,-0.21,-0.08
2020-08-10 16:3:40.4960,-0.3,-0.38,0.05
2020-08-10 16:3:40.5950,-0.72,-0.29,0.07
2020-08-10 16:3:40.6830,-1.07,-0.09,0.06
2020-08-10 16:3:40.7730,-0.38,-0.11,0.03
2020-08-10 16:3:40.8620,-0.46,-0.36,-0.26
2020-08-10 16:3:40.9590,-0.07,0.08,0.2
2020-08-10 16:3:41.0460,0.04,0.04,0.01
2020-08-10 16:3:41.1410,-0.36,-0.16,-0.14
2020-08-10 16:3:41.2340,-0.13,0.01,0.02
2020-08-10 16:3:41.3350,-0.01,0.05,-0.0
2020-08-10 16:3:41.4060,0.01,0.03,0.04
2020-08-10 16:3:41.4950,0.0,-0.01,-0.02
2020-08-10 16:3:41.5850,-0.01,-0.04,-0.04
2020-08-10 16:3:41.6760,0.13,-0.29,-0.04
2020-08-10 16:3:41.7700,0.25,-0.39,0.06
2020-08-10 16:3:41.8560,0.54,-0.37,0.19
2020-08-10 16:3:41.9500,0.25,0.03,0.14
2020-08-10 16:3:42.0510,0.7,0.27,-0.04
2020-08-10 16:3:42.1300,0.42,0.01,-0.14
2020-08-10 16:3:42.2270,0.06,-0.32,0.03
2020-08-10 16:3:42.3270,-0.47,-0.38,0.14
2020-08-10 16:3:42.4360,-0.86,-0.2,-0.07
2020-08-10 16:3:42.5250,-1.08,-0.04,0.07
2020-08-10 16:3:42.5790,-0.07,-0.59,-0.0
2020-08-10 16:3:42.6750,-0.03,0.04,0.61
2020-08-10 16:3:42.7590,0.22,-0.01,-0.16
2020-08-10 16:3:42.8460,0.03,0.06,0.02
2020-08-10 16:3:42.9390,-0.08,0.03,0.0
2020-08-10 16:3:43.0260,-0.08,-0.01,-0.03
2020-08-10 16:3:43.1310,-0.01,0.04,0.04
2020-08-10 16:3:43.2200,-0.02,0.01,-0.07
2020-08-10 16:3:43.3170,0.02,-0.02,-0.0
2020-08-10 16:3:43.4150,0.13,-0.11,0.04
2020-08-10 16:3:43.5140,0.22,-0.38,-0.09
2020-08-10 16:3:43.5760,0.4,-0.46,0.25
2020-08-10 16:3:43.6660,0.15,0.0,0.03
2020-08-10 16:3:43.7600,0.66,0.38,-0.22
2020-08-10 16:3:43.8500,0.57,0.21,-0.1
2020-08-10 16:3:43.9400,0.18,-0.28,-0.08
2020-08-10 16:3:44.0320,-0.23,-0.42,0.02
2020-08-10 16:3:44.1210,-0.56,-0.38,0.16
2020-08-10 16:3:44.2120,-1.05,-0.13,0.08
2020-08-10 16:3:44.3120,-0.41,-0.14,0.08
2020-08-10 16:3:44.4040,-0.27,-0.4,-0.21
2020-08-10 16:3:44.5030,-0.0,0.09,0.26
2020-08-10 16:3:44.6020,-0.1,0.04,0.02
2020-08-10 16:3:44.6760,-0.11,0.02,-0.01
2020-08-10 16:3:44.7560,-0.09,0.06,0.02
2020-08-10 16:3:44.8450,-0.03,0.07,-0.01
2020-08-10 16:3:44.9440,0.0,-0.04,-0.04
2020-08-10 16:3:45.0330,0.05,-0.02,0.01
2020-08-10 16:3:45.1220,0.09,-0.11,-0.03
2020-08-10 16:3:45.2120,0.25,-0.28,-0.01
2020-08-10 16:3:45.3080,0.31,-0.33,0.1
2020-08-10 16:3:45.4040,0.32,-0.01,0.08
2020-08-10 16:3:45.4940,0.96,0.28,-0.09
2020-08-10 16:3:45.5940,0.57,0.25,-0.1
2020-08-10 16:3:45.6670,0.18,-0.22,-0.13
2020-08-10 16:3:45.7470,-0.2,-0.24,0.14
2020-08-10 16:3:45.8350,-0.38,-0.33,0.06
2020-08-10 16:3:45.9290,-0.84,-0.12,0.04
2020-08-10 16:3:46.0240,-1.01,-0.02,0.16
2020-08-10 16:3:46.1130,-0.37,-0.43,-0.2
2020-08-10 16:3:46.1960,-0.23,0.01,0.07
2020-08-10 16:3:46.2920,-0.12,0.01,-0.03
2020-08-10 16:3:46.3870,-0.04,-0.0,0.06
2020-08-10 16:3:46.4850,-0.07,0.01,0.02
2020-08-10 16:3:46.5840,-0.02,0.02,0.0
2020-08-10 16:3:46.6570,-0.03,0.03,0.02
2020-08-10 16:3:46.7380,-0.0,0.01,-0.06
2020-08-10 16:3:46.8360,0.03,-0.06,-0.01
2020-08-10 16:3:46.9190,0.12,-0.18,-0.02
2020-08-10 16:3:47.0050,0.25,-0.25,-0.02
2020-08-10 16:3:47.0990,0.54,-0.27,0.21
2020-08-10 16:3:47.1890,0.08,-0.04,0.14
2020-08-10 16:3:47.2860,0.74,0.31,-0.16
2020-08-10 16:3:47.3770,0.64,0.07,-0.13
2020-08-10 16:3:47.4760,0.09,-0.15,0.02
2020-08-10 16:3:47.5740,-0.2,-0.33,0.06
2020-08-10 16:3:47.6470,-0.62,-0.51,0.1
2020-08-10 16:3:47.7360,-1.06,-0.17,0.0
2020-08-10 16:3:47.8270,-1.16,-0.06,0.23
2020-08-10 16:3:47.9180,-0.17,-0.01,-0.07
