time,ax,ay,az
2020-08-10 16:8:12.1620,-0.02,0.01,-0.01
2020-08-10 16:8:12.2610,0.04,-0.01,0.0
2020-08-10 16:8:12.3600,-0.01,0.0,-0.0
2020-08-10 16:8:12.4600,0.01,0.02,-0.02
2020-08-10 16:8:12.5590,0.02,0.01,-0.01
2020-08-10 16:8:12.6580,-0.05,0.01,-0.01
2020-08-10 16:8:12.7570,0.01,0.03,0.01
2020-08-10 16:8:12.8570,-0.0,0.01,0.02
2020-08-10 16:8:12.9560,-0.01,-0.0,0.02
2020-08-10 16:8:13.0550,-0.02,0.02,-0.03
2020-08-10 16:8:13.1540,0.04,-0.0,0.02
2020-08-10 16:8:13.2540,-0.03,-0.04,0.03
2020-08-10 16:8:13.3530,0.05,-0.0,-0.05
2020-08-10 16:8:13.4520,0.01,-0.03,0.06
2020-08-10 16:8:13.5510,0.1,0.04,-0.06
2020-08-10 16:8:13.6510,0.01,-0.03,-0.0
2020-08-10 16:8:13.7500,0.02,-0.0,0.01
2020-08-10 16:8:13.8490,-0.02,0.01,-0.02
2020-08-10 16:8:13.9480,-0.01,-0.01,0.01
2020-08-10 16:8:14.0480,-0.0,0.01,0.01
2020-08-10 16:8:14.1470,-0.0,0.0,-0.0
2020-08-10 16:8:14.2460,0.01,0.0,-0.01
2020-08-10 16:8:14.3460,0.0,-0.0,-0.01
2020-08-10 16:8:14.4450,-0.0,0.0,0.0
2020-08-10 16:8:14.5440,-0.0,0.0,-0.0
2020-08-10 16:8:14.6430,-0.01,0.01,-0.0
2020-08-10 16:8:14.7420,-0.0,0.0,-0.01
2020-08-10 16:8:14.8420,-0.0,0.01,-0.0
2020-08-10 16:8:14.9410,-0.01,-0.0,0.01
2020-08-10 16:8:15.0420,0.01,-0.0,0.0
2020-08-10 16:8:15.1400,-0.01,0.02,0.01
2020-08-10 16:8:15.2390,-0.0,-0.01,-0.02
2020-08-10 16:8:15.3380,0.01,0.01,0.01
2020-08-10 16:8:15.4410,-0.02,0.01,0.01
2020-08-10 16:8:15.5370,0.01,-0.03,-0.02
2020-08-10 16:8:15.6360,-0.02,0.01,0.01
2020-08-10 16:8:15.7350,0.03,-0.02,-0.01
2020-08-10 16:8:15.8340,-0.01,0.02,-0.0
2020-08-10 16:8:15.9340,0.03,0.02,-0.06
2020-08-10 16:8:16.0330,0.03,-0.02,-0.04
2020-08-10 16:8:16.1320,0.02,-0.01,0.01
2020-08-10 16:8:16.2320,-0.09,0.02,-0.01
2020-08-10 16:8:16.3310,-0.02,0.01,0.01
2020-08-10 16:8:16.4300,0.04,0.03,-0.01
2020-08-10 16:8:16.5290,0.03,-0.0,-0.04
2020-08-10 16:8:16.6290,0.02,0.03,0.01
2020-08-10 16:8:16.7280,0.0,-0.01,-0.03
2020-08-10 16:8:16.8270,0.03,0.01,0.01
2020-08-10 16:8:16.9270,0.01,-0.0,-0.01
2020-08-10 16:8:17.0260,0.03,0.01,0.02
2020-08-10 16:8:17.1250,-0.02,0.01,0.0
2020-08-10 16:8:17.2240,-0.02,0.01,0.04
2020-08-10 16:8:17.3230,-0.11,0.0,0.07
