time,ax,ay,az
2020-08-12 19:6:41.3920,-0.02,0.01,0.01
2020-08-12 19:6:41.4910,0.02,-0.01,0.03
2020-08-12 19:6:41.5920,-0.06,0.06,-0.02
2020-08-12 19:6:41.6900,0.02,0.01,0.0
2020-08-12 19:6:41.7910,0.02,0.02,0.03
2020-08-12 19:6:41.8880,0.0,0.01,0.02
2020-08-12 19:6:41.9890,0.03,-0.01,-0.04
2020-08-12 19:6:42.0870,-0.04,-0.01,-0.02
2020-08-12 19:6:42.1860,0.05,-0.02,-0.01
2020-08-12 19:6:42.2870,-0.06,0.02,0.01
2020-08-12 19:6:42.3850,0.0,0.01,-0.05
2020-08-12 19:6:42.4860,0.04,0.01,-0.01
2020-08-12 19:6:42.5830,-0.01,-0.02,-0.04
2020-08-12 19:6:42.6850,-0.04,0.06,-0.08
2020-08-12 19:6:42.7820,0.07,-0.07,0.03
2020-08-12 19:6:42.8830,-0.07,0.07,0.02
2020-08-12 19:6:42.9800,0.1,-0.01,0.06
2020-08-12 19:6:43.0820,-0.14,-0.03,-0.02
2020-08-12 19:6:43.1790,-0.49,-0.19,-0.04
2020-08-12 19:6:43.2800,-0.41,-0.82,0.14
2020-08-12 19:6:43.3770,-1.0,0.0,-0.11
2020-08-12 19:6:43.4780,-0.44,0.16,-0.08
2020-08-12 19:6:43.5760,0.24,-0.16,0.02
2020-08-12 19:6:43.6770,0.8,-0.07,0.18
2020-08-12 19:6:43.7740,0.83,0.17,0.33
2020-08-12 19:6:43.8750,0.46,-0.19,0.48
2020-08-12 19:6:43.9730,0.33,-0.17,-0.01
2020-08-12 19:6:44.0740,0.11,0.01,0.13
2020-08-12 19:6:44.1710,-0.01,-0.0,0.02
2020-08-12 19:6:44.2730,-0.06,0.02,0.12
2020-08-12 19:6:44.3700,-0.01,0.03,0.02
2020-08-12 19:6:44.4710,-0.09,-0.02,-0.03
2020-08-12 19:6:44.5680,-0.01,-0.11,0.03
2020-08-12 19:6:44.6680,-0.3,-0.23,-0.07
2020-08-12 19:6:44.7670,-0.59,-0.5,-0.1
2020-08-12 19:6:44.8680,-0.2,-0.06,0.39
2020-08-12 19:6:44.9660,-0.47,0.07,-0.02
2020-08-12 19:6:45.0660,-0.23,-0.06,0.03
2020-08-12 19:6:45.1640,0.38,-0.36,0.28
2020-08-12 19:6:45.2650,1.0,0.07,0.2
2020-08-12 19:6:45.3630,0.79,-0.45,0.24
2020-08-12 19:6:45.4620,0.34,-0.11,0.08
2020-08-12 19:6:45.5610,-0.07,-0.0,0.18
2020-08-12 19:6:45.6620,0.15,-0.03,-0.03
2020-08-12 19:6:45.7600,0.04,0.01,-0.04
2020-08-12 19:6:45.8610,-0.01,-0.01,-0.0
2020-08-12 19:6:45.9580,-0.05,-0.01,-0.01
2020-08-12 19:6:46.0590,-0.11,-0.04,0.07
2020-08-12 19:6:46.1570,-0.18,-0.25,0.1
2020-08-12 19:6:46.2560,-0.56,-0.43,-0.02
2020-08-12 19:6:46.3550,-0.37,-0.2,0.13
2020-08-12 19:6:46.4560,-0.52,0.07,-0.02
2020-08-12 19:6:46.5540,-0.24,0.04,-0.08
2020-08-12 19:6:46.6550,0.3,-0.47,0.21
2020-08-12 19:6:46.7520,0.99,0.19,0.24
2020-08-12 19:6:46.8540,0.79,-0.2,0.26
2020-08-12 19:6:46.9510,0.46,-0.45,-0.01
2020-08-12 19:6:47.0520,0.01,-0.1,0.16
2020-08-12 19:6:47.1490,0.18,-0.05,-0.09
2020-08-12 19:6:47.2500,-0.07,0.04,0.12
2020-08-12 19:6:47.3480,0.02,-0.0,0.01
2020-08-12 19:6:47.4490,0.04,-0.02,-0.02
2020-08-12 19:6:47.5460,-0.16,0.04,-0.03
2020-08-12 19:6:47.6460,-0.21,-0.13,0.09
2020-08-12 19:6:47.7450,-0.26,-0.36,-0.03
2020-08-12 19:6:47.8460,-0.29,-0.35,0.09
2020-08-12 19:6:47.9430,-0.37,-0.15,0.23
2020-08-12 19:6:48.0440,-0.54,0.09,-0.13
2020-08-12 19:6:48.1420,-0.07,-0.09,-0.01
2020-08-12 19:6:48.2410,0.62,-0.34,0.4
2020-08-12 19:6:48.3410,0.82,0.04,0.12
2020-08-12 19:6:48.4410,0.38,-0.32,-0.01
2020-08-12 19:6:48.5390,0.56,-0.45,0.35
2020-08-12 19:6:48.6400,0.14,-0.19,0.02
2020-08-12 19:6:48.7390,0.39,-0.07,0.04
2020-08-12 19:6:48.8370,-0.05,-0.02,-0.01
2020-08-12 19:6:48.9360,0.02,-0.03,0.05
2020-08-12 19:6:49.0370,0.01,0.0,0.07
2020-08-12 19:6:49.1350,-0.09,-0.06,-0.06
2020-08-12 19:6:49.2360,-0.09,-0.17,0.02
2020-08-12 19:6:49.3330,-0.44,-0.32,-0.06
2020-08-12 19:6:49.4330,-0.76,-0.73,0.25
2020-08-12 19:6:49.5320,-0.5,-0.15,-0.12
2020-08-12 19:6:49.6310,-0.52,0.14,-0.01
2020-08-12 19:6:49.7300,0.11,-0.12,0.11
2020-08-12 19:6:49.8300,1.11,-0.52,0.39
2020-08-12 19:6:49.9290,0.81,0.15,0.13
2020-08-12 19:6:50.0280,-1.07,-0.5,-0.26
2020-08-12 19:6:50.1270,0.47,0.31,0.1
2020-08-12 19:6:50.2280,-0.12,0.1,0.09
2020-08-12 19:6:50.3260,0.15,-0.0,-0.0
2020-08-12 19:6:50.4250,0.05,0.01,0.03
2020-08-12 19:6:50.5250,0.01,0.03,0.01
2020-08-12 19:6:50.6240,-0.02,-0.01,0.0
2020-08-12 19:6:50.7230,-0.22,-0.05,0.04
2020-08-12 19:6:50.8220,-0.13,-0.59,-0.1
2020-08-12 19:6:50.9210,-0.65,-0.6,0.22
2020-08-12 19:6:51.0210,-0.45,-0.16,0.03
2020-08-12 19:6:51.1200,-0.49,0.16,-0.09
2020-08-12 19:6:51.2190,-0.05,-0.11,-0.11
2020-08-12 19:6:51.3180,1.03,-0.47,0.32
2020-08-12 19:6:51.4180,0.96,0.15,0.13
2020-08-12 19:6:51.5180,-0.13,-0.18,0.28
2020-08-12 19:6:51.6160,0.48,0.0,0.14
2020-08-12 19:6:51.7160,-0.08,0.12,0.07
2020-08-12 19:6:51.8150,0.01,0.02,0.07
2020-08-12 19:6:51.9140,-0.05,0.01,0.01
2020-08-12 19:6:52.0130,0.05,-0.03,0.07
2020-08-12 19:6:52.1130,-0.25,0.07,-0.02
2020-08-12 19:6:52.2120,-0.2,-0.18,0.08
2020-08-12 19:6:52.3110,-0.5,-0.32,0.03
2020-08-12 19:6:52.4100,-0.37,-0.55,0.24
2020-08-12 19:6:52.5100,-0.46,-0.17,0.06
2020-08-12 19:6:52.6090,-0.67,0.08,-0.02
2020-08-12 19:6:52.7080,0.12,-0.03,-0.09
2020-08-12 19:6:52.8070,0.81,-0.51,0.19
2020-08-12 19:6:52.9070,1.04,0.14,0.19
2020-08-12 19:6:53.0060,-0.6,-0.63,-0.38
2020-08-12 19:6:53.1050,0.57,-0.3,-0.21
2020-08-12 19:6:53.2040,-0.04,-0.09,0.1
2020-08-12 19:6:53.3040,0.06,-0.02,0.03
2020-08-12 19:6:53.4030,-0.08,0.06,0.02
2020-08-12 19:6:53.5020,0.17,-0.08,-0.05
2020-08-12 19:6:53.6010,-0.09,0.07,-0.03
2020-08-12 19:6:53.7010,-0.13,0.0,0.03
2020-08-12 19:6:53.8000,-0.14,-0.25,-0.0
2020-08-12 19:6:53.8990,-0.32,-0.28,-0.03
2020-08-12 19:6:53.9980,-0.62,-0.55,0.27
2020-08-12 19:6:54.0980,-0.63,-0.09,-0.16
2020-08-12 19:6:54.1970,-0.42,0.14,-0.01
2020-08-12 19:6:54.2960,0.24,-0.16,0.05
2020-08-12 19:6:54.3960,0.66,-0.49,0.35
2020-08-12 19:6:54.4950,0.92,0.12,0.17
2020-08-12 19:6:54.5940,-1.4,-0.41,-0.87
2020-08-12 19:6:54.6930,0.56,-0.62,-0.27
2020-08-12 19:6:54.7920,-0.04,-0.09,0.23
2020-08-12 19:6:54.8920,0.18,-0.03,-0.03
2020-08-12 19:6:54.9910,-0.11,0.04,0.06
2020-08-12 19:6:55.0910,-0.03,0.0,-0.01
2020-08-12 19:6:55.1900,0.1,-0.09,-0.03
2020-08-12 19:6:55.2890,-0.09,0.04,-0.01
2020-08-12 19:6:55.3880,-0.11,-0.05,0.07
2020-08-12 19:6:55.4880,-0.04,-0.18,-0.02
2020-08-12 19:6:55.5870,-0.3,-0.16,0.01
2020-08-12 19:6:55.6860,-0.23,-0.26,-0.01
2020-08-12 19:6:55.7850,-0.08,-0.19,0.31
2020-08-12 19:6:55.8850,-0.61,0.05,-0.02
2020-08-12 19:6:55.9840,0.06,-0.07,0.03
2020-08-12 19:6:56.0830,0.2,-0.21,0.11
2020-08-12 19:6:56.1820,0.89,0.06,0.15
2020-08-12 19:6:56.2820,0.98,-0.04,0.17
2020-08-12 19:6:56.3810,0.02,-0.05,-0.1
2020-08-12 19:6:56.4800,0.15,-0.17,0.06
2020-08-12 19:6:56.5790,0.21,-0.04,0.05
2020-08-12 19:6:56.6780,0.14,-0.02,-0.04
2020-08-12 19:6:56.7780,-0.17,0.06,0.11
2020-08-12 19:6:56.8770,0.02,0.03,0.04
2020-08-12 19:6:56.9760,-0.05,-0.05,-0.01
2020-08-12 19:6:57.0750,-0.2,-0.05,0.07
2020-08-12 19:6:57.1750,-0.39,-0.28,-0.02
2020-08-12 19:6:57.2740,-0.36,-0.54,0.13
2020-08-12 19:6:57.3740,-0.38,-0.07,0.09
2020-08-12 19:6:57.4720,-0.42,0.15,0.01
2020-08-12 19:6:57.5720,0.18,-0.08,0.12
2020-08-12 19:6:57.6710,0.5,-0.35,0.18
2020-08-12 19:6:57.7710,0.57,-0.12,0.16
2020-08-12 19:6:57.8700,0.51,0.05,0.0
2020-08-12 19:6:57.9690,-0.31,-0.15,0.08
2020-08-12 19:6:58.0680,0.48,0.06,-0.07
2020-08-12 19:6:58.1680,-0.1,0.01,0.11
2020-08-12 19:6:58.2670,0.12,-0.02,-0.03
2020-08-12 19:6:58.3660,-0.03,0.02,-0.0
2020-08-12 19:6:58.4650,-0.01,-0.01,0.03
2020-08-12 19:6:58.5650,-0.06,0.01,0.08
2020-08-12 19:6:58.6640,-0.06,0.01,-0.02
2020-08-12 19:6:58.7630,0.02,-0.06,0.0
2020-08-12 19:6:58.8620,-0.19,-0.12,0.22
2020-08-12 19:6:58.9610,-0.39,-0.47,-0.18
2020-08-12 19:6:59.0610,-0.42,-0.47,0.08
2020-08-12 19:6:59.1600,-0.59,0.01,-0.05
2020-08-12 19:6:59.2590,-0.4,0.05,0.01
2020-08-12 19:6:59.3590,0.23,-0.16,0.1
2020-08-12 19:6:59.4580,0.85,-0.3,0.29
2020-08-12 19:6:59.5570,0.73,0.15,0.21
2020-08-12 19:6:59.6560,-0.46,-0.46,-0.39
2020-08-12 19:6:59.7560,0.34,-0.28,-0.18
2020-08-12 19:6:59.8550,0.02,-0.37,0.02
2020-08-12 19:6:59.9540,0.3,-0.08,-0.02
2020-08-12 19:7:00.0530,0.02,0.01,0.01
2020-08-12 19:7:00.1530,-0.04,-0.01,0.01
2020-08-12 19:7:00.2520,-0.01,0.01,0.0
2020-08-12 19:7:00.3510,-0.19,0.04,-0.03
2020-08-12 19:7:00.4510,-0.09,-0.07,0.07
2020-08-12 19:7:00.5500,-0.24,-0.47,-0.09
2020-08-12 19:7:00.6490,-0.32,-0.59,0.08
